City,Library,Address,Zip,Phone
Alachua,Alachua Branch Library,14913 Nw 140 Street,,(386) 462-2592
Altamonte Springs,Altamonte Springs City Library,281 North Maitland Avenue,32701,(407) 571-8830
Altha,Altha Public Library,5314 Brown Street,,(850) 762-8280
Altha,Sheltons Park Public Library,25008 N.E. Highway 73,,(850) 762-3992
Apalachicola,Apalachicola Municipal Library,74- 6th Street,32320,(850) 653-8436
Apalachicola,Apalachicola Program Center,148 8th Street,,(850) 653-2784
Apopka,North Orange Library,1211 East Semoran Blvd,,(407) 814-6150
Arcadia,Desoto County Library,519 West Hickory Street,,(863) 993-4851
Archer,Archer Branch Library,204 N. University Ave,,(352) 495-3367
Astor,Astor Library,54905 Alco Road,,(352) 759-9913
Auburndale,Auburndale Public Library,100 W Bridgers Avenue,,(863) 965-5548
Avon Park,Avon Park Public Library,100 N. Museum Ave,,(863) 452-3803
Barefoot Bay,South Mainland Library-Micco,299 Barefoot Boulevard,,(407) 664-4066
Bartow,Bartow Public Library,2150 S. Broadway Avenue,,(863) 534-0131
Bartow,Polk County Historical And Genealogical Lib,100 East Main Street,,(863) 534-4380
Bartow,Polk County Law Library,255 North Broadway,,(863) 534-4013
Bartow,Polk County Library Cooperative,2150 S. Broadway Ave,33830,(863) 519-7958
Belle Glade,Belle Glade Branch,530 South Main St,,(561) 996-3453
Belleview,Belleview Library,13145 Se Highway 484,,(352) 438-2500
Beverly Hills,Central Ridge Library,425 W Roosevelt Blvd,,(352) 746-6622
Beverly Hills,Citrus County Library System,425 W. Roosevelt Boulevard,34465,(352) 746-9077
Big Pine Key,Big Pine Key Library,213 Key Deer Blvd,,(305) 289-6303
Blountstown,Calhoun County Public Library,17731 N.E. Pear St,,(850) 674-8773
Blountstown,Hugh Creek Public Library,11442 S.E. County Road 69,,(850) 674-3334
Boca Grande,Johann Fust Community,1040 West 10th Street,33921,(941) 964-2488
Boca Raton,Boca Raton Public Library,1501 Nw Spanish River Blvd,33431,(561) 393-7852
Boca Raton,Southwest County Regional Library,20701 95th Ave. South,,(561) 482-4554
Bokeelia,Pine Island Public Library,10700 Russell Road NW,33922,(239) 533-4350
Bonifay,Holmes County Public Library,303 North J. Harvey Etheridge Street,,(850) 547-3573
Bonita Springs,Bonita Springs Public Library,26876 Pine Ave,34135,(239) 533-4860
Boynton Beach,Boynton Beach City Library,208 S. Seacrest Blvd,33435,(561) 742-6380
Boynton Beach,West Boynton Beach Branch Library,9451 Jog Road,,(561) 734-5556
Bradenton,Braden River Library,4915 53rd Avenue East,,(941) 727-6079
Bradenton,Manatee County Public Library System,1301 Barcarrota Blvd West,34222,(941) 748-5555
Bradenton,South Manatee County Branch,6081 26th Street W,,(941) 755-3892
Brandon,Brandon Branch,619 Vonderburg Drive,,(813) 744-5630
Branford,Branford Public Library,703 N.W. Suwannee Ave,,(904) 935-1556
Bristol,Liberty County Library,537 South 12,,(850) 643-2247
Bronson,Levy County Public Library System,612 E. Hathaway Ave,32621,(352) 486-5552
Brooksville,East Hernando Branch Library,31170 Cortez Blvd,,(352) 754-4443
Brooksville,Hernando County Public Library System,238 Howell Ave,34601,(352) 754-4043
Brooksville,Istachatta Branch Library,238 Howell Avenue,,(352) 754-4043
Brooksville,Rock Cannery Library,15487 Citrus Way,,(352) 540-4306
Brooksville,West Hernando Branch Library,6335 Blackbird Ave,,(352) 596-1077
Bryceville,Bryceville Branch,7280 Motes Road,,(904) 266-9813
Bushnell,Bushnell Public Library,402 North Florida Street,,(352) 793-8274
Bushnell,Sumter County Public Library System,"910 North Main Street, Suite 225",33513,(352) 568-3456
Callahan,Callahan Branch,"450086 State Road 200, Suite 10",,(904) 879-5337
Cape Canaveral,Cape Canaveral Public Library,201 Polk Avenue,,(321) 868-1101
Cape Coral,Cape Coral Lee County Public Library,921 SW 39th Terrace,33914,(239) 533-4500
Cape Coral,Northwest Regional Library,519 Chiquita Blvd. North,33993,(239) 533-4700
Captiva,Captiva Memorial Library,11550 Chapin Lane,33924,(239) 533-4890
Carrabelle,Carrabelle Branch,311 St. James Ave,,(850) 697-2366
Casselberry,Central Branch Library,215 North Oxford Road,,(407) 339-4000
Casselberry,Seminole County Public Library System,215 N. Oxford Road,32707,(407) 665-1505
Cedar Key,Cedar Key Library,box 550,,(352) 543-5132
Celebration,Celebration Library,510 Campus Street,,(407) 566-2300
Chattahoochee,Chattahoochee Public Library,715 Main Street,,(850) 663-2707
Chiefland,Luther Callaway Library,box 1940,,(352) 493-2758
Chipley,Washington County Public Library,1444 Jackson Avenue,,(850) 638-1314
Clearwater,Beach Library,483 Mandalay,,(727) 462-6890
Clearwater,Clearwater Public Library System,100 North Osceola Avenue,,(727) 562-4970
Clearwater,Countryside Library,2741 State Road 580,,(727) 669-1295
Clearwater,East Library,2251 Drew Street,,(727) 669-1285
Clearwater,North Greenwood Branch,905 N. Martin Luther King Jr. Avenue,,(727) 462-6895
Clearwater,Pinellas Public Library Cooperative,1330 Cleveland Street,33755,(727) 441-8408
Clearwater,Talking Book Library,1330 Cleveland Street,,(727) 441-9958
Clermont,Cooper Memorial Library,620 Montrose St,,(352) 394-4265
Clewiston,Clewiston Public Library,120 West Osceola Avenue,,(863) 983-9245
Clewiston,Harlem Community Library,1010 J Harlem Academy Ave,,(863) 902-3322
Clewiston,Hendry County Library System,120 West Osceola Avenue,33440,(863) 983-1493
Cocoa,Brevard County Library System,308 Forrest Avenue,32922,(321) 633-1801
Cocoa,Central Brevard Library And Reference Center,308 Forrest Avenue,,(321) 633-1792
Cocoa,Talking Book Library,308 Forrest Ave,,(407) 633-1810
Cocoa Beach,Cocoa Beach Public Library,550 N. Brevard Avenue,,(321) 868-1104
Coconut Creek,North Regional-Bcc Library,"1000 Coconut Creek Blvd., Bldg. 62",,(954) 969-2600
Coleman,Coleman Library,712 Central Avenue,,(352) 748-4598
Coral Gables,Coral Gables Branch,3443 Segovia Street,,(305) 442-8706
Coral Springs,West Atlantic Branch,10643 W. Atlantic Blvd,,(954) 341-3912
Crawfordville,Wakulla County Public Library,4330 Crawfordville Highway,,(850) 926-7415
Crescent City,Crescent City Public Library,610 North Summit,,(904) 698-2600
Crestview,Robert L. F. Sikes Public Library,1445 Commerce Drive,,(850) 682-4432
Cross City,Dixie County Library,,,(352) 498-3949
Crystal River,Coastal Region Library,8619 West Crystal Street,,(352) 795-3716
Dade City,Hugh Embry Branch Library,14215 N Fourth St,,(352) 567-3576
Dania,Dania Beach Paul Demaio Branch,225 E Dania Beach Blvd,,(954) 926-2420
Davie,Davie-Cooper City Branch,4600 Sw 82nd Avenue,,(954) 680-0050
Daytona Beach,John H. Dickerson Heritage Library,411 South Keech Street,,(386) 239-6478
Daytona Beach,S. Cornelia Young Memorial Library,302 Vermont Ave,,(386) 239-6436
Daytona Beach,Volusia County Public Library,1290 Indian Lake Rd,32124,(386) 248-1745
Debary,Debary Public Library,220 N. Charles R. Beall Blvd,,(407) 668-3835
Deerfield Beach,Century Plaza Branch,1856-A W. Hillsboro Blvd,,(954) 360-1330
Deerfield Beach,Deerfield Beach Percy White Branch,837 E Hillsboro Blvd,,(954) 360-1380
Defuniak Springs,Walton County Public Library System,3 Circle Drive,32435,(850) 892-3624
Deland,Deland Area Public Library,130 East Howry St,,(904) 822-6430
Delray Beach,Delray Beach Library,100 West Atlantic Avenue,33444,(561) 266-0194
Delray Beach,West Atlantic Branch Library,7777 West Atlantic Ave,,(561) 498-3110
Deltona,Deltona Public Library,2150 Eustace Ave,,(904) 789-7207
Destin,Destin Library,150 Sibert Avenue,,(850) 837-8572
Dundee,Dundee Public Library,203 Center Street,,(863) 419-3125
Dunedin,Dunedin Public Library,223 Douglas Avenue,,(727) 298-3080
Dunnellon,Dunnellon Public Library,20351 Robinson Road,,(352) 438-2520
Dunnellon,Herman B. Oberman Public Library,4040 Deepwater Court,,(352) 438-2564
Eagle Lake,Eagle Lake Public Library,75 North Seventh Street,,(863) 293-2914
Eastpoint,Eastpoint Branch,29 Island Drive,,(850) 670-8151
Eatonville,Eatonville Branch,200 E. Kennedy Blvd,,(407) 835-7323
Edgewater,Edgewater Public Library,103 Indian River Blvd,,(904) 424-2916
Ellenton,Rocky Bluff Branch,6750 US Highway 301 North,,(941) 723-4821
Englewood,Elsie Quirk Library,100 W. Dearborn Street,,(941) 861-1200
Englewood,Englewood Charlotte Public Library,3450 Mccall Road,,(941) 474-1881
Estero,South County Regional Library,21100 Three Oaks Parkway,33928,(239) 533-4400
Eustis,Eustis Memorial Library,120 N. Center St,32726,(352) 357-5686
Everglades City,Everglades City Branch Library,,,(941) 695-2511
Fernandina Beach,Fernandina Beach Library,25 North 4th Street,,(904) 277-7365
Fernandina Beach,Nassau County Public Library System,25 N. 4th St,32034,(904) 548-4862
Fleming Island,Clay County Public Library System,1895 Towncenter Blvd,32006,(904) 278-4745
Floral City,Floral City Library,8240 East Orange Ave,,(352) 726-3671
Fort Lauderdale,African-American Research Library,2650 Sistruck Blvd,,(954) 625-2800
Fort Lauderdale,"Alvin Sherman Library, Research, And Information Technology Center At Nova Southeastern University","3100 Ray Ferrero, Jr. Blvd",,(954) 262-4601
Fort Lauderdale,Broward County Libraries Division,100 S. Andrews Ave,33301,(954) 357-7397
Fort Lauderdale,Broward County Main Library,100 S. Andrews Ave,,(954) 357-7397
Fort Lauderdale,Fort Lauderdale Branch,1300 East Sunrise Blvd,,(954) 765-4263
Fort Lauderdale,Galt Ocean Mile Reading Center,3403 Galt Ocean Dr,,(954) 537-2877
Fort Lauderdale,Imperial Point Branch,5985 North Federal Highway,,(954) 492-1881
Fort Lauderdale,Riverland Branch,2710 West Davie Blvd,,(954) 791-1085
Fort Lauderdale,Talking Book Library,100 S Andrews Ave,,(954) 357-7555
Fort Lauderdale,Tyrone Bryant Branch,2230 Nw 21st Avenue,,(954) 497-1675
Fort Meade,Fort Meade Public Library,75 East Broadway,,(863) 285-8287
Fort Myers,Dunbar Jupiter Hammon Library,3095 Blount Street,33916,(239) 533-4150
Fort Myers,Fort Meyers Regional Library,2450 First Street,33901,(239) 533-4600
Fort Myers,Lakes Regional Library,15290 Bass Road,33919,(239) 533-4000
Fort Myers,Lee County Library System,2345 Union Street,33901,(239) 533-4800
Fort Myers,Riverdale Branch Library,2421 Buckingham Road,33905,(239) 533-4370
Fort Myers Beach,Fort Myers Beach Public Library,2755 Estero Blvd,33931,(239) 463-9691
Fort Pierce,Lakewood Park Branch Library,7605 Santa Barbara Drive,,(561) 462-6870
Fort Pierce,St. Lucie County Library System,101 Melody Lane,34950,(772) 462-1615
Fort Pierce,Zora Neale Hurston Branch Library,3010 Avenue D,,(561) 462-2154
Fort Walton Beach,Fort Walton Beach Library,185 Miracle Strip Pkwy Se,,(850) 833-9590
Fort White,Fort White Branch Library,118 S.W. Wilson Springs Road,,(386) 497-1108
Freeport,Freeport Branch Library,76 Highway 20 West,,(850) 835-2040
Frostproof,Latt Maxcy Memorial Library,15 North Magnolia Avenue,,(863) 635-7857
Fruitland Park,Fruitland Park Library,506 West Berckman St,,(352) 728-3387
Ft. Mccoy,Fort Mccoy Public Library,14660 Ne Hwy. 315,,(352) 438-2560
Gainesville,Alachua County Detention Center Branch,3333 Ne 39th Avenue,,(352) 491-4540
Gainesville,Alachua County Library District,401 East University Avenue,32601,(352) 334-3910
Gainesville,Millhopper Branch Library,3145 Nw 43rd St,,(352) 334-1272
Gainesville,Tower Road Branch Library,3020 Sw 75th St,,(352) 333-2840
Graceville,Graceville Branch,5314 Brown St,,(850) 263-3659
Green Cove Spring,Green Cove Springs Branch,403 Ferris Street,,(904) 284-6315
Greenacres,Greenacres Branch Library,3750 Jog Road,,(561) 641-9100
Greenville,Greenville Public Library,312 S.W. Church Ave,,(850) 948-2529
Groveland,Marion Baysinger Memorial Library,243 South Lake Avenue,,(352) 429-5840
Gulf Breeze,Gulf Breeze Library,1060 Shoreline Dr,,(850) 932-5166
Gulfport,Gulfport Public Library,5501 28th Avenue South,,(727) 893-1074
Haines City,Haines City Public Library,111 North 6th Street,33844,(863) 421-3633
Hallandale,Hallandale Branch,300 S. Federal Highway,,(954) 457-1750
Hastings,Hastings Branch Library,6150 S. Main St,,(904) 827-6970
Havana,Havana Public Library,116 East 7th Avenue,,(850) 539-5579
Hawthorne,Hawthorne Branch Library,6640 Se 221 Street,,(352) 481-3388
Hialeah,Curtiss E-Library,501 East 4th Avenue,,(305) 883-6950
Hialeah,Hialeah Public Libraries,190 West 49 Street,33012,(305) 821-2700
Hialeah,John F. Kennedy Library,190 West 49 Street,,(305) 821-2700
Hialeah,North Hialeah E-Library,7400 West 10th Avenue,,(305) 816-4470
Hialeah,West Hialeah E-Library,7400 W. 24th Avenue,,(305) 698-3615
Hialeah Gardens,Hialeah Gardens Branch Library,11300 N.W. 87th Court,,(305) 820-8520
High Springs,High Springs Branch Library,135 Northwest First Avenue,,(352) 454-2515
Highland Beach,Highland Beach Library,3614 South Ocean Blvd,33487,(561) 278-5455
Hilliard,Hillard Branch,37177 Pecan Street,,(904) 845-2495
Hobe Sound,Hobe Sound Branch Library,10595 S.E. Federal Highway,,(772) 546-2257
Holiday,Centennial Park Branch Library,5740 Moog Road East,,(727) 846-3204
Holiday,South Holiday Branch Library,4649 Mile Stretch Drive,,(727) 834-3331
Holly Hill,Holly Hill Public Library,1066 Ridgewood Ave,,(904) 239-6454
Hollywood,Carver Ranches Branch,4735 Sw 18th Street,,(954) 985-1945
Hollywood,Hollywood Beach Reading Center,1301 S Ocean Dr,,(954) 926-2437
Hollywood,Hollywood Branch,2600 Hollywood Boulevard,,(954) 926-2430
Hollywood,Stirling Road Branch,3151 Stirling Road,,(954) 985-2689
Holmes Beach,Island Branch Library,5701 Marina Drive,,(941) 778-6341
Homestead,Homestead Branch Library,700 North Homestead Blvd,,(305) 246-0168
Homosassa,Homosassa Library,4100 S Grandmarch Ave,,(352) 628-5626
Hosford,Jimmy Weaver Memorial Library (Hosford Branch),22149 Ne State Rd 20,,(850) 379-3330
Howey-In-The-Hills,Marianne Beck Memorial Library,112 W. Central Ave,34737,(352) 324-0254
Hudson,Hudson Regional Library,8012 Library Road,,(727) 861-3040
Hudson,Pasco County Public Library Cooperative,8012 Library Road,34667,(727) 861-3020
Immokalee,Immokalee Branch Library,417 North First Street,,(941) 657-2882
Indian Rocks Beach,Indian Rocks Beach Library,1507 Bay Palm Boulevard,33785,(727) 596-1822
Indiantown,Elisabeth Lahti Library,15200 Sw Adams Ave,,(772) 597-4200
Interlachen,Interlachen Public Library,133 N. State Road 315,,(904) 684-1600
Inverness,Lakes Region Library,1511 Druid Road,34452,(352) 726-2357
Islamorada,Helen Wadley Branch,,,(305) 664-4645
Jacksonville,Argyle Branch,7973 S Old Middleburg Rd,,(904) 573-3164
Jacksonville,Bartram Trail Branch Library,60 Davis Pond Blvd,,(904) 827-6960
Jacksonville,Bradham Brooks Northwest Regional Library,1755 Edgewood Avenue West,,(904) 765-5402
Jacksonville,Brentwood Branch,3725 Pearl Street,,(904) 630-0924
Jacksonville,Charles D. Webb-Wesconnett Regional Library,6887 103rd Street,,(904) 778-7305
Jacksonville,Dallas James Graham Library,2304 North Myrtle Avenue,,(904) 630-0922
Jacksonville,Highlands Regional Library,1826 Dunn Avenue,,(904) 757-7702
Jacksonville,Jacksonville Public Library,303 North Laura Street,32202,(904) 630-1994
Jacksonville,Mandarin Regional Library,3330 Kori Road,,(904) 262-5201
Jacksonville,Maxville Branch,8375 Maxville Blvd,,(904) 289-7563
Jacksonville,Murray Hill Library,918 Edgewood Avenue South,,(904) 384-2665
Jacksonville,Pablo Creek Regional Library,13295 Beach Blvd,,(904) 992-7101
Jacksonville,Raiford A. Brown Eastside Library,1390 Harrison Street,,(904) 630-5466
Jacksonville,Regency Square Regional Library,9900 Regency Square Blvd,,(904) 726-5142
Jacksonville,San Marco Library,1513 Lasalle St,,(904) 858-2907
Jacksonville,South Mandarin Regional Library,12125 San Jose Blvd,,(904) 288-6385
Jacksonville,Southeast Regional Library,10599 Deerwood Park Blvd,,(904) 996-0325
Jacksonville,Talking Books - Special Needs Library,303 North Laura St,,(904) 630-1999
Jacksonville,University Park Branch Library,3435 University Blvd N,,(904) 744-2265
Jacksonville,West Regional Library,1425 Chaffee Rd S,,(904) 693-1448
Jacksonville,Westbrook Library,2809 Commonwealth Avenue,,(904) 384-7424
Jacksonville,Willowbranch Library,2875 Park Street,,(904) 381-8490
Jasper,Jasper Public Library,311 Hatley Street Ne,,(904) 792-2285
Jay,Jay Library,5259 Brooker Lane,,(850) 675-6293
Jennings,Jennings Public Library,1322 Plum Street,,(904) 938-1143
Jensen Beach,Hoke Branch Library,1150 Nw Jack Williams Way,,(772) 463-2870
Jupiter,Jupiter Branch Library,705 Military Trail,,(561) 744-2301
Kenansville,Kenansville Library Center,1180 Canoe Creek Rd. South,,(407) 892-8117
Key Largo,Key Largo Branch,101485 Overseas Hwy,,(305) 451-2396
Key Largo,Monroe County Public Library System,700 Fleming Street,33040,(305) 292-3595
Keystone Heights,Keystone Heights Branch Library,,,(904) 473-4286
Kinard,Kinard Public Library,5416 S.W. State Road 73,,(850) 639-5125
Kissimmee,Buenaventura Lakes Library,405 Buenaventura Blvd,,(407) 348-8767
Kissimmee,Hart Memorial Library,211 E. Dakin Avenue,,(407) 935-0777
Kissimmee,Law Library,211 E. Dakin Ave,,(407) 935-0777
Kissimmee,Osceola County Library System,211 E. Dakin Avenue,34741,(407) 742-8888
Labelle,Labelle Free Public Library,461 North Main Street,,(941) 675-0833
Lady Lake,Lady Lake Public Library,225 West Guava Street,,(352) 753-2957
Lake Alfred,Lake Alfred Public Library,195 East Pomelo Street,,(863) 956-3434
Lake Butler,New River Public Library Cooperative,110 N. Lake Ave,32054,(386) 496-2526
Lake Butler,Union County Public Library,175 West Main Street,,(904) 496-3432
Lake City,Columbia County Public Library,308 Nw Columbia Avenue,32055,(386) 758-1018
Lake City,West Branch Library,435 N.W. Hall Of Fame Drive,,(386) 758-1321
Lake Helen,Lake Helen Public Library,221 North Euclid Ave,,(386) 228-1152
Lake Mary,Northwest Branch Library,580 Greenway Blvd,,(407) 321-2419
Lake Panasoffkee,"Panasoffkee Community Library, Inc",1500 Cr 459,,(352) 793-8608
Lake Park,Lake Park Public Library,529 Park Ave,33403,(561) 881-3330
Lake Placid,Lake Placid Memorial Library,205 West Interlake Boulevard,,(863) 699-3705
Lake Wales,Lake Wales Public Library,290 Cypress Garden Lane,,(863) 678-4004
Lake Worth,Lake Worth Public Library,15 North M Street,33460,(561) 533-7354
Lakeland,Lakeland Public Library,100 Lake Morton Drive,,(863) 499-8242
Lakeland,Larry R. Jackson Branch Library,1700 N Florida Ave,,(863) 499-8243
Land Olakes,Land Olakes Branch Library,2818 Collier Pkwy,,(813) 949-1214
Lantana,Lantana Public Library,205 West Ocean Avenue,33462,(561) 540-5740
Largo,Largo Public Library,351 East Bay Drive,,(727) 587-6715
Lauderdale Lakes,Lauderdale Lakes Branch,3521 Nw 43rd Avenue,,(954) 497-3627
Lauderhill,Lauderhill-City Hall Complex Branch,2000 City Hall Drive,,(954) 497-1630
Lauderhill,Lauderhill-Mall Branch,4257 Nw 12th Street,,(954) 791-1000
Laurel Hill,Gladys N. Milton Memorial Library,261 Flowersview Blvd,,(850) 834-5383
Lee,Lee Library,190 S.E. Cr 255,,(850) 971-5665
Leesburg,Leesburg Public Library,204 N Fifth St,,(352) 728-9790
Lehigh Acres,East County Regional Library,881 Gunnnery Road,33971,(239) 533-4200
Lighthouse Point,Doreen Gauthier Lighthouse Point Library,2200 N.E. 38th Street,33064,(954) 946-6398
Lighthouse Point,Lighthouse Point Library,2200 N.E. 38th Street,,(954) 946-6398
Live Oak,Suwannee River Regional Library System,1848 Ohio-M L King Avenue South,32064,(386) 362-2317
Longwood,West Branch Library,"245 Hunt Club Blvd., North",,(407) 862-2282
Lutz,Lutz Branch Library,101 West Lutz Lake Fern Rd,,(813) 264-3800
Lynn Haven,Lynn Haven Public Library,901 Ohio Avenue,32444,(850) 265-2781
Macclenny,Emily Taber Library,14 Mciver Avenue West,,(904) 259-6464
Madeira Beach,Gulf Beaches Public Library,200 Municipal Drive,,(727) 391-2828
Madison,Madison County Library,100 College Drive,,(850) 973-6814
Maitland,Maitland Public Library,501 South Maitland Avenue,32751,(407) 647-7700
Marathon,George Dolezal Branch,3251 Overseas Highway,,(305) 743-5156
